,num_dol,num_etfe,num_tfsi,num_ps,num_li,atoms_dol,atoms_etfe,atoms_tfsi,atoms_ps,atoms_li,count,%
197,3,1,3,1,2,:1O:1O,,1N1O1S:1N3O2S:2O,,1L:1L,2,0.06000600060006
198,6,0,2,1,2,::1O:1O:1O:1O,,1O:2O2S,,1L:1L,2,0.06000600060006
199,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,1N3O2S,,1L:1L,2,0.06000600060006
200,5,0,3,1,2,:::1O:2O,,1O:1O1S:2O2S,,1L:1L,2,0.06000600060006
201,6,0,2,1,2,:1O:1O:1O:2O:2O,,:2O1S,,1L:1L,2,0.06000600060006
202,6,0,2,1,2,1O:1O:1O:1O:1O:2O,,1O:1O,,1L:1L,2,0.06000600060006
203,5,0,2,1,2,:1O:1O:1O:1O,,1N2O1S:1O,,1L:1L,2,0.06000600060006
204,4,0,3,1,2,:1O:1O:1O,,1N3O2S:1O1S:2O1S,,1L:1L,2,0.06000600060006
205,6,0,2,1,2,:1O:1O:1O:1O:1O,,1N1O1S:1O,,1L:1L,2,0.06000600060006
206,4,0,1,2,2,1O:1O:1O:1O,,1N3O2S,:1S:1S:1S:1S:2S:3S:3S,1L:1L,2,0.06000600060006
207,5,0,2,1,2,:1O:1O:1O:1O,,1N2O2S:1O1S,,1L:1L,2,0.06000600060006
208,3,0,2,1,2,1O:1O:2O,,1N3O2S:1O1S,,1L:1L,2,0.06000600060006
209,6,0,2,1,2,1O:1O:1O:1O:1O:2O,,:2O,,1L:1L,2,0.06000600060006
210,7,0,0,1,2,:1O:1O:1O:1O:2O:2O,,,,1L:1L,2,0.06000600060006
211,3,1,3,1,2,:1O:1O,,1O1S:2O:2O1S,,1L:1L,2,0.06000600060006
212,5,0,2,1,2,:1O:1O:1O:1O,,1N1O1S:2O1S,,1L:1L,2,0.06000600060006
213,5,0,3,1,2,:1O:1O:1O:1O,,:1N1O1S:2O,,1L:1L,2,0.06000600060006
214,4,0,2,2,2,1O:1O:1O:1O,,:1O1S,:::1S:1S:2S:2S:2S,1L:1L,2,0.06000600060006
215,5,0,3,1,2,:1O:1O:1O:1O,,1O:2O:2O1S,,1L:1L,2,0.06000600060006
216,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,2O,,1L:1L,2,0.06000600060006
217,4,0,3,1,2,:1O:1O:2O,,1O:2O:2O1S,,1L:1L,2,0.06000600060006
218,5,0,2,1,2,:1O:1O:1O:1O,,1O:2O1S,,1L:1L,2,0.06000600060006
219,6,0,2,1,2,::1O:1O:1O:2O,,1O:1O,,1L:1L,2,0.06000600060006
220,6,0,1,1,1,::1O:1O:1O:2O,,,,1L,2,0.06000600060006
221,5,0,3,1,2,:1O:1O:1O:1O,,1O:1O:2O1S,,1L:1L,2,0.06000600060006
222,3,1,3,1,2,1O:1O:2O,,1O:1O1S:1O1S,,1L:1L,2,0.06000600060006
223,6,0,2,1,2,::1O:1O:1O:2O,,1N1O1S:1O,,1L:1L,2,0.06000600060006
224,6,0,2,1,2,::1O:1O:1O:1O,,:1N3O2S,,1L:1L,2,0.06000600060006
225,4,1,2,2,2,1O:1O:1O:1O,,1O:1O,:1S:1S:2S:2S:2S:2S:3S,1L:1L,2,0.06000600060006
226,5,0,3,1,2,1O:1O:1O:1O:1O,,1O:1O1S:1O1S,,1L:1L,2,0.06000600060006
227,6,0,2,1,2,1O:1O:1O:1O:1O:1O,,:1O,,1L:1L,2,0.06000600060006
228,6,0,2,1,2,:1O:1O:1O:1O:1O,,1O:2O,,1L:1L,2,0.06000600060006
229,4,1,1,2,2,1O:1O:1O:1O,,1O,3S:3S:3S:3S:4S:4S:5S:5S,1L:1L,2,0.06000600060006
230,5,0,1,2,2,:1O:1O:1O:2O,,1O1S,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,2,0.06000600060006
231,4,0,3,1,2,:1O:1O:1O,,1N1O1S:1O:1O,,1L:1L,2,0.06000600060006
232,4,1,1,2,2,1O:1O:1O:1O,,,::1S:1S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
233,6,0,2,1,2,:1O:1O:1O:1O:2O,,:1N2O2S,,1L:1L,2,0.06000600060006
234,6,0,2,1,2,::1O:1O:1O:1O,,1O1S:2O1S,,1L:1L,2,0.06000600060006
235,5,0,3,1,2,1O:1O:1O:1O:1O,,1O:1O:1O1S,,1L:1L,2,0.06000600060006
