,num_dol,num_prn,num_tfsi,num_ps,num_li,atoms_dol,atoms_prn,atoms_tfsi,atoms_ps,atoms_li,count,%
57,3,4,0,1,1,:1O:2O,:1N:1N:1N,,,1L,7,0.21002100210021
58,6,2,0,1,1,:::1O:1O:1O,:1N,,,1L,7,0.21002100210021
59,5,2,0,1,1,:::1O:1O,1N:1N,,,1L,7,0.21002100210021
60,2,6,0,1,2,:1O,:1N:1N:1N:1N:1N,,,1L:1L,7,0.21002100210021
61,4,3,0,1,1,:1O:1O:1O,::1N,,,1L,7,0.21002100210021
62,3,5,0,1,1,::2O,::1N:1N:1N,,,1L,7,0.21002100210021
63,1,7,0,1,1,1O,::::1N:1N:1N,,,1L,7,0.21002100210021
64,3,5,0,1,1,::1O,:1N:1N:1N:1N,,,1L,7,0.21002100210021
65,3,6,0,1,1,::1O,::::1N:1N,,,1L,7,0.21002100210021
66,2,4,0,1,1,1O:1O,:1N:1N:1N,,,1L,7,0.21002100210021
67,2,5,0,1,1,1O:1O,::1N:1N:1N,,,1L,7,0.21002100210021
68,3,3,0,1,1,:1O:1O,::1N,,,1L,7,0.21002100210021
69,4,3,0,1,1,:::1O,1N:1N:1N,,,1L,6,0.18001800180018
70,3,5,0,1,2,:1O:1O,1N:1N:1N:1N:1N,,,1L:1L,6,0.18001800180018
71,3,5,0,1,1,:1O:1O,:1N:1N:1N:1N,,,1L,6,0.18001800180018
72,4,4,0,1,1,:1O:1O:1O,:1N:1N:1N,,,1L,6,0.18001800180018
73,5,4,0,1,1,::::1O,:1N:1N:1N,,,1L,6,0.18001800180018
74,5,4,0,1,1,:::1O:1O,:1N:1N:1N,,,1L,6,0.18001800180018
75,2,6,0,1,1,:,::1N:1N:1N:1N,,,1L,6,0.18001800180018
76,4,3,0,1,2,:1O:1O:1O,1N:1N:1N,,,1L:1L,6,0.18001800180018
77,1,5,0,1,1,1O,:::1N:1N,,,1L,6,0.18001800180018
78,3,3,1,1,1,:1O:1O,:1N:1N,1O,,1L,6,0.18001800180018
79,5,4,0,1,1,::1O:1O:1O,::1N:1N,,,1L,6,0.18001800180018
80,3,4,0,1,1,::2O,::1N:1N,,,1L,6,0.18001800180018
81,3,4,0,1,1,::2O,:1N:1N:1N,,,1L,6,0.18001800180018
82,2,5,0,1,2,:1O,:1N:1N:1N:1N,,,1L:1L,6,0.18001800180018
83,3,3,1,1,1,::1O,:1N:1N,,,1L,6,0.18001800180018
84,5,3,0,1,1,::::1O,1N:1N:1N,,,1L,6,0.18001800180018
85,2,5,0,1,1,:2O,:::1N:1N,,,1L,5,0.15001500150015
86,4,4,0,1,2,::1O:1O,1N:1N:1N:1N,,,1L:1L,5,0.15001500150015
87,2,5,0,1,1,:1O,:1N:1N:1N:1N,,,1L,5,0.15001500150015
88,2,5,0,1,2,:1O,1N:1N:1N:1N:1N,,,1L:1L,5,0.15001500150015
89,4,3,1,1,1,:1O:1O:1O,::1N,,,1L,5,0.15001500150015
