,r ($\AA$),g_full(r),O (DOL),O (DOL),O (EPE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
86,4.325,1.002881407862748,0.7022664470924573,0.7681039265073754,0.0462875120814957,10.403409660322287,3.9783469256254302,4.406684441271886,4.114636135149301,4.1146361351493,0.1789656286677116,0.7414290330519482,4.8065054556471125,4.295175088025079,0.7669955514330499,0.4601973308598299,1.4061585109605914,1.968621915344828,3.839673648296475
87,4.375,1.0184008568773042,0.5766881350600601,0.5218789321411288,0.0514040556487863,9.304402955182946,3.8245091901672232,3.9513585828759217,4.097235384490921,3.837194129438091,0.1998838915409775,0.5746661881803103,4.647300478327729,4.44741658678675,0.4747242424098216,0.4997097288524437,2.098780861180264,2.0488098882950183,3.0036124059237963
88,4.425,1.0326201989910135,0.496175052750436,0.4658920683102684,0.0703485404892438,7.625936401210926,3.347972078580409,3.5029707859220918,3.546370423977765,3.2797726473500672,0.3419365422568092,0.6838730845136184,4.762687552862698,5.153472172584767,0.4884807746525845,0.3663605809894384,2.2225875246692595,2.076043292273484,2.294613516442012
89,4.4750000000000005,1.044147883633204,0.4384566167344525,0.4316235266035262,0.0609241269695079,6.244042720152833,3.049275231297936,2.788601603175052,2.940156038130217,2.8977207963427705,0.3582195735303914,0.5492700127465999,4.943430114719403,4.203109662756594,0.3343382686283653,0.6447952323547043,1.9582670019661383,2.1254361362803205,1.720916073654165
90,4.525,1.0533705355491378,0.4577799129923995,0.4522108142941953,0.0903388359403487,4.903240122158761,2.466442431460755,2.3656503128674062,2.3004318831893578,2.6917424612576517,0.4671292483827188,0.4437727859635827,4.834787720761143,4.367658472378424,0.5605550980592626,0.6306244853166704,2.218863929817914,1.8685169935308747,1.4314174825441868
91,4.575,1.0560038712282138,0.4489181791997046,0.4750687527453188,0.084614386971157,3.485837927253988,2.23882435926795,2.1228230971297144,2.0300220874191264,2.221424169947216,0.7083107369955911,0.5940670697382374,3.7928897529441374,4.386956822682376,0.7311594704470616,0.6626132700926496,2.2620246116955998,2.147780944438246,0.9155813904482174
92,4.625,1.057725995818558,0.4680511456298375,0.4456614552921917,0.1030335209552853,2.604978960646822,1.9466400512023097,1.7480033112837066,1.8728606906611127,2.099874107710947,0.5142197855901495,0.6036493135188711,3.934899228863757,4.18083043066774,0.4471476396436083,0.6036493135188712,2.369882490111125,2.1463086702893204,0.7377936054119532
93,4.675,1.0584904060024178,0.4591364823271825,0.4925282264964323,0.1116458378925723,2.027424697660838,1.988542580171452,1.8441232866394488,1.82745952200114,1.8385686984266765,0.5032793562478952,0.5470427785303207,4.135643405689224,3.873062871994669,0.2406988225533413,0.897150156789726,2.275697958686133,2.472633358957049,0.5084148598830777
94,4.7250000000000005,1.0615766737821453,0.5056546634035455,0.5015685651134163,0.1410264347516072,1.419227662263267,1.8488023186571296,1.805301087629904,1.7128609716970458,1.6095455480073833,0.514105457594496,0.4712633361282879,4.51984381468494,4.155685782222172,0.4284212146620798,0.9211056115234716,2.420579862840752,2.4634219843069607,0.3895135737386868
95,4.775,1.064415434819852,0.5491337300417038,0.566137871044817,0.1449929159790148,1.2565521608598946,1.719772660837906,1.6771776723341816,1.5919876953267311,1.7304214079638387,0.566319733515438,0.5663197335154379,3.5237672307627284,3.649616060432824,0.6292441483504865,0.6292441483504866,2.51697659340195,2.412102568676868,0.4096507822934802
